GYNOPAC 35 G 4 COMP AG,FARMACOQUÍMICA,1108211,40,40787,1002011022173/11,16/12/2011,"VITÓRIA DA CONQUISTA -BA"
HALO 1 MG COM. 20 BL X 10,"CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",10129307,1 cx,0443223,447/2011,03/05/2011,Registro - SP
HALO 1 MG COM. 20 BL X 10,"CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",10129307,6 cxs,0443994,447/2011,03/05/2011,Registro - SP
HALO 5 MG COM. 20 BL X 10,"CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",10085690,10 cxs,0443223,447/2011,03/05/2011,Registro - SP
"HALO 5 MG/ML SOL INJ - 50 AMP X 1ML","CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",10128839,1 cx,0443223,447/2011,03/05/2011,Registro - SP
HELLENA 80MG,CRISTÁLIA PROD. QUIM. FARMAC,10129076,330,495871,01926/1918/2011,18/08/2011,S. J. MERITI - RJ
HEMOFISS POM BG 30 G C 1 APLIC,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1101611,12,159049,970929,30/08/2011,Carté-MG
HEMOFISS POM BG 30 G C 1 APLIC,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1101611,6,158922,970929,30/08/2011,Carté-MG
HEMOFISS POM. BG 30 G,"CIMED Indústria de MedicamentosLtda",163434,4,,2011-1380465,21/10/2011,"Rua Refinaria GabrielPassos, 437,Petrolândia –Contagem/MG"
"HEMOFOL 5000 UI/ 0,25 ML - SOL INJSUB. - 25 AMP X 0,25 ML","CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",10128959,17 cxs,0443994,447/2011,03/05/2011,Registro - SP
"HEMOFOL 5000 UI/ML SOL INJ - 25FA X 5 ML","CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",11020962,5 cxs,0443223,447/2011,03/05/2011,Registro - SP
"HEMOFOL 5000 UI/ML SOL INJ SUB. -25 AMP X 0,25 ML","CRISTÁLIA PRODUTOS QUÍMICOSFARMACÊUTICOS LTDA.",10128959,80 cxs,0443224,447/2011,03/05/2011,Registro - SP
"HEPTRON 60 MG CX C/ 10SERINGAS","AGILA MARKETING E DISTRIB. DEPROD. HOSP. LTDA",7004942,200,5130,13614603,04/11/2011,CARIACICA - ES
Medicamento,Empresa,No lote,"Quantidade Roubada/Furtada/Extraviada",No Nota Fiscal,No Boletim de Ocorrência,"Data do rouboou extravio",Local do roubo ou extravio
HERPESIL 200MG 25TAB BR,SANDOZ DO BRASIL IND. FARM.,BX5436,10,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
HERPESIL 200MG 25TAB BR,SANDOZ DO BRASIL IND. FARM.,BX5436,20,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
HICONAZOL IB 100ML,"HALEX ISTAR INDÚSTRIAFARMACÊUTICA",46710,200,80145,3000/2011,01/06/2011,Marginal Tietê - SP
HIDROCLOROTIAZIDA 25 MG 1 X 30,"CIMED Indústria de MedicamentosLtda",163425,10,,2011-1380465,21/10/2011,"Rua Refinaria GabrielPassos, 437,Petrolândia –Contagem/MG"
"HIDROCLOROTIAZIDA 25 MGCOMP 1 BL X 30","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1103303,200,158942,970929,30/08/2011,Carté-MG
"HIDROCLOROTIAZIDA 25 MGCOMP 1 BL X 30","CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1103303,200,158952,970929,30/08/2011,Carté-MG
HIDROMED 25 MG 1 X 30,"CIMED Indústria de MedicamentosLtda",163434,2,,2011-1380465,21/10/2011,"Rua Refinaria GabrielPassos, 437,Petrolândia –Contagem/MG"
HIDROMED 25 MG COMP 1 BL X 30,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1103388,100,158922,970929,30/08/2011,Carté-MG
"",CIMED Indústria de Medicamentos,,,,,,"Rua Refinaria GabrielPassos, 437,"
HIDROMED 25 MG COMP. 1 X 30,Ltda,,,,,,"Petrolândia –Contagem/MG"
HIDROMED 25MG COMP. 25 X 20,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",11B0184,589,132642,F410223030850-2011,23/03/2011,João Monlevade - MG
HIDROMED 25MG COMP. 25 X 20,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",11B0232,211,132642,F410223030850-2011,23/03/2011,João Monlevade - MG
HIDROMED 50 MG COMP. 1 X 20,"CIMED Indústria de MedicamentosLtda",163434,6,,2011-1380465,21/10/2011,"Rua Refinaria GabrielPassos, 437,Petrolândia –Contagem/MG"
HIGICLER 5ml,"LATINOFARMA INDÚSTRIASFARMACÊUTICAS LTDA",10332,96,75916,89368,14/02/2011,Governador Valadares - MG
HIGROTON,NOVARTIS BIOCIÊNCIAS S/A,Z0121,253,268648,508/2011,13/09/2011,GOITUBA-GO
HIPERECIN 30 CAPS,"HERBARIUM LABORATÓRIOBOTÂNICO LTDA,",338581,2,71187,987681,03/10/2011,CAJATI - SP
HIPERIUM,"LABORATORIOS SERVIER DOBRASIL LTDA",3000288,24,18293,6490/2010,08/11/2010,São Paulo - SP
"HIRUDOID GEL 300 (3 MG/G) -BISNAGA 40G","DAIICHI SANKYO BRASILFARMACEUTICA LTDA",10331,48,26008,64/2011,16/07/2011,Professor Jamil - GO
"HIRUDOID GEL 300 (3 MG/G) -BISNAGA 40G","DAIICHI SANKYO BRASILFARMACEUTICA LTDA",10331,96,26011,64/2011,16/07/2011,Professor Jamil - GO
"",,,Quantidade Roubada/,,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
HIRUDOID GEL 300 (3 MG/G) -,DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40G,FARMACEUTICA LTDA,10331,288,,26014,64/2011,16/07/2011,Professor Jamil - GO
HIRUDOID GEL 300 (3 MG/G) -,DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40G,FARMACEUTICA LTDA,10331,96,,26017,64/2011,16/07/2011,Professor Jamil - GO
HIRUDOID GEL 300 (3 MG/G) -,DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40G,FARMACEUTICA LTDA,10331,48,,26020,64/2011,16/07/2011,Professor Jamil - GO
HIRUDOID GEL 300 (3 MG/G) -,DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40G,FARMACEUTICA LTDA,10331,288,,26022,64/2011,16/07/2011,Professor Jamil - GO
HIRUDOID GEL 500 (5 MG/G) -,DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40 G,FARMACEUTICA LTDA,10340,96,,26008,64/2011,16/07/2011,Professor Jamil - GO
HIRUDOID GEL 500 (5 MG/G) -,DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40 G,FARMACEUTICA LTDA,10340,144,,26011,64/2011,16/07/2011,Professor Jamil - GO
HIRUDOID GEL 500 (5 MG/G) -,DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40 G,FARMACEUTICA LTDA,10340,480,,26014,64/2011,16/07/2011,Professor Jamil - GO
HIRUDOID GEL 500 (5 MG/G) -,DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40 G,FARMACEUTICA LTDA,10340,144,,26017,64/2011,16/07/2011,Professor Jamil - GO
HIRUDOID GEL 500 (5 MG/G) -,DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40 G,FARMACEUTICA LTDA,10340,48,,26020,64/2011,16/07/2011,Professor Jamil - GO
HIRUDOID GEL 500 (5 MG/G) -,DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40 G,FARMACEUTICA LTDA,10340,720,,26022,64/2011,16/07/2011,Professor Jamil - GO
HIRUDOID GEL 500 (5 MG/G),DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40G,FARMACEUTICA LTDA,10340,144,,25990,64/2011,16/07/2011,Professor Jamil - GO
HIRUDOID POMADA 300 (3 MG/G) -,DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40 G,FARMACEUTICA LTDA,10339,96,,26011,64/2011,16/07/2011,Professor Jamil - GO
HIRUDOID POMADA 300 (3 MG/G) -,DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40 G,FARMACEUTICA LTDA,10339,240,,26014,64/2011,16/07/2011,Professor Jamil - GO
HIRUDOID POMADA 300 (3 MG/G) -,DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40 G,FARMACEUTICA LTDA,10339,144,,26017,64/2011,16/07/2011,Professor Jamil - GO
HIRUDOID POMADA 300 (3 MG/G) -,DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40 G,FARMACEUTICA LTDA,10339,48,,26020,64/2011,16/07/2011,Professor Jamil - GO
HIRUDOID POMADA 300 (3 MG/G) -,DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40 G,FARMACEUTICA LTDA,10339,288,,26022,64/2011,16/07/2011,Professor Jamil - GO
HIRUDOID POMADA 300 (3 MG/G) -,DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40G,FARMACEUTICA LTDA,10339,48,,26008,64/2011,16/07/2011,Professor Jamil - GO
HIRUDOID POMADA 500 (5 MG/G) -,DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40G,FARMACEUTICA LTDA,10346,48,,26008,64/2011,16/07/2011,Professor Jamil - GO
HIRUDOID POMADA 500 (5 MG/G) -,DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40G,FARMACEUTICA LTDA,10346,96,,26011,64/2011,16/07/2011,Professor Jamil - GO
HIRUDOID POMADA 500 (5 MG/G) -,DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40G,FARMACEUTICA LTDA,10346,336,,26014,64/2011,16/07/2011,Professor Jamil - GO
HIRUDOID POMADA 500 (5 MG/G) -,DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40G,FARMACEUTICA LTDA,10346,144,,26017,64/2011,16/07/2011,Professor Jamil - GO
HIRUDOID POMADA 500 (5 MG/G) -,DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40G,FARMACEUTICA LTDA,10346,48,,26020,64/2011,16/07/2011,Professor Jamil - GO
HIRUDOID POMADA 500 (5 MG/G) -,DAIICHI SANKYO BRASIL,,,,,,,
BISNAGA 40G,FARMACEUTICA LTDA,10346,864,,26022,64/2011,16/07/2011,Professor Jamil - GO
"",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,,
IMIPRA 25 MG COM. REV. 20 BL X 10,FARMACÊUTICOS LTDA.,11021122,12 cxs,,0443994,447/2011,03/05/2011,Registro - SP
IMOXY CREME DERM 5% 3 SACH,MEDLEY INDÚSTRIA,,,,,,,
(AG),FARMACEUTICA LTDA,11010077,,1,41251,1647/2011,01/09/2011,Brasilandia-SP
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
"",,,,,,,R MANUEL ANTONIO
IMOXY CREME DERM 5% 3 SACH,SANOFI-AVENTIS COMERCIAL E,,,,,,"FONSECA, 3-BRASILANDIA -"
(AG),LOGISTICA LTDA,11010077,1,41251,1649/2011,01/09/2011,SP
IMPLANTE DE PANTURRILHA,SILIMED,363299,,,,,Rio de Janeiro - RJ
IMPLANTE DE PANTURRILHA,SILIMED,3561519,,,,,Rio de Janeiro - RJ
IMPLANTE MAMÁRIO SUPERFÍCIE,,,,,,,
TEXTURIZADA,SILIMED,3577174,,,020-04709/2011,01/08/2011,Rio de Janeiro - RJ
IMPLANTE MAMÁRIO SUPERFÍCIE,,,,,,,
TEXTURIZADA,SILIMED,3617870,,,020-04709/2011,01/08/2011,Rio de Janeiro - RJ
IMPLANTE MAMÁRIO SUPERFÍCIE,,,,,,,
TEXTURIZADA,SILIMED,3756252,,,020-04709/2011,01/08/2011,Rio de Janeiro - RJ
IMPLANTE MAMÁRIO SUPERFÍCIE,,,,,,,
TEXTURIZADA,SILIMED,3727197,,,020-04709/2011,01/08/2011,Rio de Janeiro - RJ
"",,,,,,,VITÓRIA DA CONQUISTA -
"",,1107831,40,40786,1002011022173/11,16/12/2011,
INICOX DP 15 MG C/3,FARMACOQUÍMICA,,,,,,BA
INTRA GEL BIS 50G,Eurofarma Laboratórios Ltda,,189,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",,213681B,,,,,
"",HERBARIUM LABORATÓRIO,,,,,,
ISOFLAVINE 75MG 30 COMP,"BOTÂNICO LTDA,",198371,1,71187,987681,03/10/2011,CAJATI - SP
ISOFORINE 100% INALANTE- 1 FR X,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
100 ML,FARMACÊUTICOS LTDA.,11010368,6 cxs,0443223,447/2011,03/05/2011,Registro - SP
ISOFORINE 100% INALANTE- 1 FR X,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
240 ML,FARMACÊUTICOS LTDA.,11021102,120 cxs,0443976,447/2011,03/05/2011,Registro - SP
ISOFORINE 100% INALANTE- 1 FR X,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
240 ML,FARMACÊUTICOS LTDA.,11021103,160 cxs,0443976,447/2011,03/05/2011,Registro - SP
ISOFORINE 100% INALANTE- 1 FR X,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
240 ML,FARMACÊUTICOS LTDA.,11021103,50 cxs,0443985,447/2011,03/05/2011,Registro - SP
KABIVEN Emulsão inj. bol plas x,,,,,,,
1026ml,FRESENIUS KABI BRASIL LTDA,10DK6851,5,97304,1706/2011,11/04/2011,Vitória - ES
KABIVEN Emulsão inj. bol plas x,,,,,,,
2053ml,FRESENIUS KABI BRASIL LTDA,10DI6094,5,97304,1706/2011,11/04/2011,Vitória - ES
"",,,,,,,VITÓRIA DA CONQUISTA -
"",,184 c,168,40786,1002011022173/11,16/12/2011,
KELO  COTE 1 G,FARMACOQUÍMICA,,,,,,BA
KETAMIN S (+) 50 MG/ML SOL INJ -,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
25 AMP X 2 ML,FARMACÊUTICOS LTDA.,11031628,15 cxs,0443976,447/2011,03/05/2011,Registro - SP
KETAMIN S (+) 50 MG/ML SOL INJ -,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
25 AMP X 2 ML,FARMACÊUTICOS LTDA.,11031628,1 cx,0443986,447/2011,03/05/2011,Registro - SP
KETAMIN S (+) 50 MG/ML SOL INJ - 5,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
FA X 10 ML,FARMACÊUTICOS LTDA.,11020951,1 cx,0443223,447/2011,03/05/2011,Registro - SP
KETAMIN S (+) 50 MG/ML SOL INJ - 5,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
FA X 10 ML,FARMACÊUTICOS LTDA.,11020951,50 cxs,0443976,447/2011,03/05/2011,Registro - SP
KETAMIN S (+) 50 MG/ML SOL INJ - 5,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
FA X 10 ML,FARMACÊUTICOS LTDA.,11020951,20 cxs,0443982,447/2011,03/05/2011,Registro - SP
KETAMIN S (+) 50 MG/ML SOL INJ - 5,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
FA X 10 ML,FARMACÊUTICOS LTDA.,11020951,2 cxs,0443995,447/2011,03/05/2011,Registro - SP
"",,,,,,,AV. JOAO PESSOA -
KIADON 120MG 3BL X 10COMP,MERCK S.A.,BR27620,6,186483,308-4279/2011,03/10/2011,FORTALEZA
"",,,,,,,AV. JOAO PESSOA -
KIADON 80MG 3BL X 10 COMP,MERCK S.A.,BR27642,24,186483,308-4279/2011,03/10/2011,FORTALEZA
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
"",CIMED INDÚSTRIA DE,,,,,,
KIT BABYMED MENINA,MEDICAMENTOS LTDA,4311/10,7,3964,555/2011,23/02/2011,São Paulo - SP
"",CIMED INDÚSTRIA DE,,,,,,
KIT BABYMED MENINO,MEDICAMENTOS LTDA,4315/10,10,3964,555/2011,23/02/2011,São Paulo - SP
"",WYETH INDUSTRIA,,,,,,
KIT CENTRUM 100+30 COMP,,74880,120,24799,7468/2011,23/11/2011,ITAPEVI - SP
"",FARMACEUTICA LTDA,,,,,,
"",WYETH INDUSTRIA,,,,,,
KIT CENTRUM 100+30 COMP,,74880,254,24819,7468/2011,23/11/2011,ITAPEVI - SP
"",FARMACEUTICA LTDA,,,,,,
"",WYETH INDUSTRIA,,,,,,
KIT CENTRUM 100+30 COMP,,72273,24,23030,5911/2011,19/09/2011,ITAPEVI - SP
"",FARMACEUTICA LTDA,,,,,,
KIT CENTRUM 100+30 COMP,WYETH IND. FARMACÊUTICA,72273,24,23030,5911/2011,19/09/2011,ITAPEVI - SP
KIT CENTRUM 100+30 COMP,WYETH IND. FARMACÊUTICA,74880,120,24799,7468/2011,23/11/2011,ITAPEVI - SP
KIT CENTRUM 100+30 COMP,WYETH IND. FARMACÊUTICA,74880,254,24819,7468/2011,23/11/2011,ITAPEVI - SP
"",INSTITUTO DE TECNOLOGIA EM,,,,TERMO DE DIVERGÂNCIA,,
"",IMUNOBIOLÓGICOS BIO-,,,,079/2011/SADM/CGAD/DLOG,,
KIT REA TESTE RAPIDO HIV 1/2 20,MANGUINHOS,113TR006Z,4,4703,/SE/MS,,
"",INSTITUTO DE TECNOLOGIA EM,,,,TERMO DE DIVERGÂNCIA,,
"",IMUNOBIOLÓGICOS BIO-,,,,079/2011/SADM/CGAD/DLOG,,
KIT REA TESTE RAPIDO HIV 1/2 20,MANGUINHOS,113TR007Z,36,,/SE/MS,,
"",,,,,,,Rua Refinaria Gabriel
"",CIMED Indústria de Medicamentos,,,,,,"Passos, 437,"
"",,163521,3,,2011-1380465,21/10/2011,
"",Ltda,,,,,,Petrolândia –
K-MED 2 EM 1 FR 200 ML,,,,,,,Contagem/MG
"",CIMED INDÚSTRIA DE,,,,,,
K-MED 2 EM 1 GEL FR 200 ML,MEDICAMENTOS LTDA,1103144,12,159049,970929,30/08/2011,Carté-MG
"",CIMED INDÚSTRIA DE,,,,,,
K-MED GEL 25 gr.,MEDICAMENTOS LTDA,4799/10,5,3964,555/2011,23/02/2011,São Paulo - SP
"",CIMED INDÚSTRIA DE,,,,,,
K-MED GEL BG 25G,MEDICAMENTOS LTDA,11A0240,200,132167,F410223030850-2011,23/03/2011,João Monlevade - MG
"",CIMED INDÚSTRIA DE,,,,,,
K-MED GEL BG 50 G,MEDICAMENTOS LTDA,1103409,36,159049,970929,30/08/2011,Carté-MG
"",CIMED INDÚSTRIA DE,,,,,,
K-MED GEL BG 50G,MEDICAMENTOS LTDA,11B0410,450,132456,F410223030850-2011,23/03/2011,João Monlevade - MG
"",CIMED INDÚSTRIA DE,,,,,,
K-MED HOT FR 30 ML,MEDICAMENTOS LTDA,1100883,30,159049,970929,30/08/2011,Carté-MG
"",CIMED INDÚSTRIA DE,,,,,,
K-MED HOT FR. 20 ML,MEDICAMENTOS LTDA,4949/10,100,132167,F410223030850-2011,23/03/2011,João Monlevade - MG
KOIDE D XPE 120ML,Eurofarma Laboratórios Ltda,205627D,200,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
KOIDEXA ELIXIR 120ML,Eurofarma Laboratórios Ltda,204546B,40,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
KOLLAGENASE C/ CLORANFENICOL,,,,,,,
"0,6 U/G  + 0,01 G/G POM. DERM. - 10",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
BIS X 30 G,FARMACÊUTICOS LTDA.,11010426,30 cxs,0444234,447/2011,03/05/2011,Registro - SP
KOLLAGENASE S/ CLORANFENICOL,,,,,,,
"0,6 U/G POM. DERM. - 10 BIS X 30 G",CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
+ ESP,FARMACÊUTICOS LTDA.,11021159,1 cx,0443986,447/2011,03/05/2011,Registro - SP
"",CIMED INDÚSTRIA DE,,,,,,
KURAMED SOL TOP FR SPR 50 ML,MEDICAMENTOS LTDA,1103078,36,159049,970929,30/08/2011,Carté-MG
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
"",CIMED INDÚSTRIA DE,,,,,,
LA VITAN DRG. FR. 50 drágeas,MEDICAMENTOS LTDA,11B0220,300,132456,F410223030850-2011,23/03/2011,João Monlevade - MG
"",LATINOFARMA INDÚSTRIAS,,,,,,
LACRIBELL 15 ML,FARMACÊUTICAS LTDA,11.201,36,81.587,2041/2011,20/07/2011,São Paulo/SP
"",LATINOFARMA INDÚSTRIAS,,,,,,
LACRIBELL 15ml,FARMACÊUTICAS LTDA,10380,288,75916,89368,14/02/2011,Governador Valadares - MG
"",DAIICHI SANKYO BRASIL,,,,,,
LACTULONA,FARMACEUTICA LTDA,110361P,168,26024,64/2011,16/07/2011,Professor Jamil - GO
LACTULONA 667 MG/ ML - SABOR,,,,,,,
SALADA DE FRUTAS - FRASCO,DAIICHI SANKYO BRASIL,,,,,,
PLÁSTICO 120 ML,FARMACEUTICA LTDA,110361F,144,26018,64/2011,16/07/2011,Professor Jamil - GO
LACTULONA 667 MG/ML - SABOR,DAIICHI SANKYO BRASIL,,,,,,
AMEIXA - FRASCO PLÁSTICO 120 ML,FARMACEUTICA LTDA,110361P,24,26009,64/2011,16/07/2011,Professor Jamil - GO
LACTULONA 667 MG/ML - SABOR,DAIICHI SANKYO BRASIL,,,,,,
AMEIXA - FRASCO PLÁSTICO 120 ML,FARMACEUTICA LTDA,110361P,72,26012,64/2011,16/07/2011,Professor Jamil - GO
LACTULONA 667 MG/ML - SABOR,DAIICHI SANKYO BRASIL,,,,,,
AMEIXA - FRASCO PLÁSTICO 120 ML,FARMACEUTICA LTDA,110361P,144,26015,64/2011,16/07/2011,Professor Jamil - GO
LACTULONA 667 MG/ML - SABOR,DAIICHI SANKYO BRASIL,,,,,,
AMEIXA - FRASCO PLÁSTICO 120 ML,FARMACEUTICA LTDA,110361P,96,26018,64/2011,16/07/2011,Professor Jamil - GO
LACTULONA 667 MG/ML - SABOR,DAIICHI SANKYO BRASIL,,,,,,
AMEIXA - FRASCO PLÁSTICO 120 ML,FARMACEUTICA LTDA,110361P,72,26021,64/2011,16/07/2011,Professor Jamil - GO
LACTULONA 667 MG/ML - SABOR,,,,,,,
SALADA DE FRUTAS - FRASCO,DAIICHI SANKYO BRASIL,,,,,,
PLÁSTICO 120ML,FARMACEUTICA LTDA,110361F,24,26012,64/2011,16/07/2011,Professor Jamil - GO
LACTULONA 667 MG/ML - SABOR,,,,,,,
SALADA DE FRUTAS - FRASCO,DAIICHI SANKYO BRASIL,,,,,,
PLÁSTICO 120ML,FARMACEUTICA LTDA,110361F,96,26015,64/2011,16/07/2011,Professor Jamil - GO
LACTULONA 667 MG/ML - SABOR,,,,,,,
SALADA DE FRUTAS - FRASCO,DAIICHI SANKYO BRASIL,,,,,,
PLÁSTICO 120ML,FARMACEUTICA LTDA,110361F,48,26021,64/2011,16/07/2011,Professor Jamil - GO
LACTULONA 667 MG/ML - SABOR,,,,,,,
SALADA DE FRUTAS - FRASCO,DAIICHI SANKYO BRASIL,,,,,,
PLÁSTICO 120ML,FARMACEUTICA LTDA,110361F,552,26024,64/2011,16/07/2011,Professor Jamil - GO
LACTULONA 667 MG/ML SABOR,DAIICHI SANKYO BRASIL,,,,,,
AMEIXA - 120ML,FARMACEUTICA LTDA,110361P,24,25991,64/2011,16/07/2011,Professor Jamil - GO
LACTULONA 667 MG/ML SABOR,DAIICHI SANKYO BRASIL,,,,,,
SALADA DE FRUTAS - 120ML,FARMACEUTICA LTDA,110361F,24,25991,64/2011,16/07/2011,Professor Jamil - GO
"",CIMED INDÚSTRIA DE,,,,,,
LAVITAN DRG FR 50,MEDICAMENTOS LTDA,4671/10,3,159049,970929,30/08/2011,Carté-MG
"",CIMED INDÚSTRIA DE,,,,,,
LAVITAN DRG FR 50,MEDICAMENTOS LTDA,1103714,27,158922,970929,30/08/2011,Carté-MG
"",CIMED INDÚSTRIA DE,,,,,,
LAVITAN DRG FR 50,MEDICAMENTOS LTDA,1103714,12,158942,970929,30/08/2011,Carté-MG
"",CIMED INDÚSTRIA DE,,,,,,
LAVITAN DRG FR 50,MEDICAMENTOS LTDA,1102492,5,158998,970929,30/08/2011,Carté-MG
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
"",CIMED INDÚSTRIA DE,,,,,,
LAVITAN DRG FR 50,MEDICAMENTOS LTDA,1103714,40,159036,970929,30/08/2011,Carté-MG
LEPONEX,NOVARTIS BIOCIÊNCIAS S/A,Z0048,21,268436,508/2011,13/09/2011,GOITUBA-GO
LEPONEX,NOVARTIS BIOCIÊNCIAS S/A,Z0038,14,268837,508/2011,13/09/2011,GOITUBA-GO
"",HALEX ISTAR INDÚSTRIA,,,,,,
LEVOFLOXACINO 5 MG/ML 100 ML,FARMACÊUTICA,40862,30,80145,3000/2011,01/06/2011,Marginal Tietê - SP
LEVOFLOXACINO 500MG  7CPR,Eurofarma Laboratórios Ltda,,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",,215420,,,,,
LEVOFLOXACINO 500MG 10CPR,Eurofarma Laboratórios Ltda,,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",,215231,,,,,
LEVOTIROXINA SÓDICA 175 MCG,,,,,,,
2BL X 15 COMP,MERCK S.A.,BR30555,140,168106,4017/2011,19/07/2011,S. Lourenço da Serra - SP
LEXAPRO 10 MG 7 COMP AG,LUNDBECK BRASIL LTDA.,2229680,100,1777,4096/2011,18/05/2011,Porto Alegre - RS
LEXAPRO 10 MG 7 COMP AG,LUNDBECK BRASIL LTDA,2221487,200,12813,125834/2011,27/07/2011,Viana/ ES
LEXAPRO 10MG 14 COMP,LUNDBECK BRASIL LTDA,2208834,12,4000,4017/2011,19/07/2011,São Paulo/ SP
LEXAPRO 10MG 14 COMP,LUNDBECK BRASIL LTDA,2200173,12,13480,4458,04/08/2011,Parnamirim/RN
LEXAPRO 10MG 14 COMP,LUNDBECK BRASIL LTDA,2183447,3,8287,137/2011,30/06/2011,São Paulo/ SP
LEXAPRO 10MG 28 COMP,LUNDBECK BRASIL LTDA,2214289,36,13480,4458,04/08/2011,Parnamirim/RN
LEXAPRO 10MG 28 COMP,LUNDBECK BRASIL LTDA,2201688,48,10248,11I0319039742,17/06/2011,Jaboatã dos Guararapes/ PE
LEXAPRO 10MG 28 COMP,LUNDBECK BRASIL LTDA,2209892,9,12650,137/2011,30/06/2011,São Paulo/ SP
LEXAPRO 10MG 28 COMP,LUNDBECK BRASIL LTDA,2247792,60,4000,4017/2011,19/07/2011,São Paulo/ SP
LEXAPRO 10MG 7 COM AG,LUNDBECK BRASIL LTDA,2200175,495,9656,125834/2011,27/07/2011,Viana/ ES
LEXAPRO 10MG COMPRIMIDOS,LUNDBECK BRASIL LTDA,2208834,12,1722,4460,09/03/2011,Natal/ RN
LEXAPRO 10MG COMPRIMIDOS,LUNDBECK BRASIL LTDA,2235815,36,1722,4460,09/03/2011,Natal/ RN
