Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/ Furtada/ Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade*,UF*
1660,INTR. PEEL-AWAY 7F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,47453 / 6377183,1,381585,N/A,20-Ago-20,SAO JOSE DO RIO PRETO,SP
1661,INTR. PEEL-AWAY 7F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,47455 / 6377183,1,381585,N/A,20-Ago-20,SAO JOSE DO RIO PRETO,SP
Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade*,UF*
1662,INTR. PEEL-AWAY 7F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,49768 / 6671764,1,425127,N/A,29/07/2021,NATAL,RN
1663,INTR. PEEL-AWAY 7F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,45961 / 6205913,1,362252,N/A,05/ago/2021,LONDRINA,PR
1664,INTR. PEEL-AWAY 7F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,47179 / 6290864,1,378419,N/A,24/07/2021,FRANCA,SP
1665,INTR. PEEL-AWAY 7F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,43664 / 5978833,1,332934,N/A,06/Ago/2021,LONDRINA,PR
1666,INTR. PEEL-AWAY 7F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,43668 / 5978833,1,332934,N/A,06/Ago/2021,LONDRINA,PR
1667,INTR. PEEL-AWAY 8F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,97067 / 6037732,1,342525,N/A,05/ago/2021,LONDRINA,PR
1668,INTR. PEEL-AWAY 8F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,97070 / 6037732,1,342525,N/A,05/ago/2021,LONDRINA,PR
1669,INTR. PEEL-AWAY 8F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,97669 / 6037732,1,345362,N/A,05/ago/2021,LONDRINA,PR
1670,INTR. PEEL-AWAY 8F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,102905 / 6369404,1,394843,N/A,06-Ago-21,CURITIBA,PR
1671,INTR. PEEL-AWAY 8F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,99186 / 6142019,1,396957,N/A,20-Ago-20,SAO JOSE DO RIO PRETO,SP
1672,INTR. PEEL-AWAY 8F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,99808 / 6247296,1,394683,N/A,29/07/2021,NATAL,RN
1673,INTR. PEEL-AWAY 8F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,103377 / 6400789,1,394569,N/A,29/07/2021,NATAL,RN
1674,INTR. PEEL-AWAY 8F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,98676 / 6142019,1,394683,N/A,29/07/2021,NATAL,RN
1675,INTR. PEEL-AWAY 8F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,100790 / 6209845,1,425127,N/A,29/07/2021,NATAL,RN
1676,INTR. PEEL-AWAY 8F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,97069 / 6037732,1,342525,N/A,05/ago/2021,LONDRINA,PR
1677,INTR. PEEL-AWAY 8F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,95387 / 5845140,1,332934,N/A,06/Ago/2021,LONDRINA,PR
1678,INTR. PEEL-AWAY 8F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,95385 / 5845140,1,408651,N/A,06/Ago/2021,LONDRINA,PR
1679,INTR. PEEL-AWAY 8F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,103314 / 6369605,1,408286,N/A,24/07/2021,CURITIBA,PR
1680,INTR. PEEL-AWAY 8F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,101607 / 6318558,1,375031,N/A,24/07/2021,DOURADOS,MS
1681,INTR. PEEL-AWAY 8F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,99607 / 6166993,1,359360,N/A,24/07/2021,DOURADOS,MS
1682,INTR. PEEL-AWAY 8F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,99763 / 6173193,1,362239,N/A,06-Ago-21,ARAPONGAS,PR
1683,INTR. PEEL-AWAY 8F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,100234 / 6247296,1,364298,N/A,06-Ago-21,ARAPONGAS,PR
1684,INTR. PEEL-AWAY 8F 14CM,ST. JUDE MEDICAL BRASIL LTDA.,100847 / 6209845,1,379880,N/A,06-Ago-21,ARAPONGAS,PR
1685,INTR.HEMOS.ULTIMUM KIT 7F 12CM,ST. JUDE MEDICAL BRASIL LTDA.,69510932 / 5382794,1,273827,N/A,10/Ago/2020,LONDRINA,PR
1686,INTRO HEMO FAST CATH 12CM 6F,ST. JUDE MEDICAL BRASIL LTDA.,3541818 / 5723632,1,341461,N/A,24/07/2021,LONDRINA,PR
1687,INTRO HEMO FAST CATH 12CM 6F,ST. JUDE MEDICAL BRASIL LTDA.,3542416 / 6209399,1,376731,N/A,24/07/2021,LONDRINA,PR
1688,INTRO HEMO FAST CATH 12CM 6F,ST. JUDE MEDICAL BRASIL LTDA.,3542662 / 6314202,1,373691,N/A,24/07/2021,LONDRINA,PR
1689,INTRO HEMO FAST CATH 12CM 6F,ST. JUDE MEDICAL BRASIL LTDA.,3542737 / 6368737,1,377534,N/A,24/07/2021,LONDRINA,PR
1690,INTRO HEMO FAST CATH 12CM 6F,ST. JUDE MEDICAL BRASIL LTDA.,3542912 / 6448095,1,389125,N/A,04/08/2021,CASCAVEL,
1691,INTRO HEMO FAST CATH 12CM 6F,ST. JUDE MEDICAL BRASIL LTDA.,3542905 / 6448095,1,389125,N/A,04/08/2021,CASCAVEL,
1692,INTRO HEMO FAST CATH 12CM 7F,ST. JUDE MEDICAL BRASIL LTDA.,3584026 / 5849209,1,354430,N/A,24/07/2021,LONDRINA,PR
1693,INTRO HEMO FAST CATH 12CM 7F,ST. JUDE MEDICAL BRASIL LTDA.,3585034 / 6271861,1,373691,N/A,24/07/2021,LONDRINA,PR
1694,INTRO HEMO FAST CATH 12CM 7F,ST. JUDE MEDICAL BRASIL LTDA.,3585858 / 6470074,1,389125,N/A,04/08/2021,CASCAVEL,
1695,INTRO HEMO FAST CATH 12CM 7F,ST. JUDE MEDICAL BRASIL LTDA.,3585672 / 6349442,1,386412,N/A,24/07/2021,SÃO PAULO,SP
1696,INTRO HEMO FAST CATH 12CM 7F,ST. JUDE MEDICAL BRASIL LTDA.,3585675 / 6349442,1,386412,N/A,24/07/2021,SÃO PAULO,SP
1697,INTRO HEMO FAST CATH 12CM 7F,ST. JUDE MEDICAL BRASIL LTDA.,3585973  / 6424871,1,412191,N/A,12-Ago-21,SOROCABA,SP
1698,INTRO HEMO FAST CATH 12CM 8F,ST. JUDE MEDICAL BRASIL LTDA.,3620892 / 5184839,1,308285,N/A,24/07/2021,LONDRINA,PR
1699,INTROD.TS.SWARTZ M.INTERNA SL1,ST. JUDE MEDICAL BRASIL LTDA.,43912993 / 6481914,1,379291,N/A,05/ago/2021,RIO DE JANEIRO,RJ
1700,INTROD.TS.SWARTZ M.INTERNA SL1,ST. JUDE MEDICAL BRASIL LTDA.,6975335,1,423915,N/A,12-Ago-21,JOINVILLE,SC
1701,INTROD.TS.SWARTZ M.INTERNA SL1,ST. JUDE MEDICAL BRASIL LTDA.,6882686,1,412689,N/A,12-Ago-21,RIO DE JANEIRO,RJ
1702,INTROD.TS.SWARTZ M.INTERNA SL1,ST. JUDE MEDICAL BRASIL LTDA.,6975335,1,416720,N/A,12-Ago-21,RIO DE JANEIRO,RJ
Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade*,UF*
1703,INTRODUTOR 8 FR 14 CM 405112,St. Jude Medical Brasil Ltda.,7751562,3,465786,9130 / 2021 / 100929,16/08/2021,CANOAS,RS
1704,INTRODUTOR 8 FR 14 CM 405112,St. Jude Medical Brasil Ltda.,7751562,1,465787,9130 / 2021 / 100929,16/08/2021,CANOAS,RS
1705,INTRODUTOR 8 FR 14CM 405112,ST. JUDE MEDICAL BRASIL LTDA.,7751562,1,465787,9130/2021/100929,16/08/2021,CANOAS,RS
1706,INVISALIGN SYSTEM COMPREHENSIV,Align Technology do Brasil LTDA,12104535,1,401445,2021/828066,14/08/2021,"Rua Rodrigues Alves, Curitiba - Paraná",PR
1707,INVISALIGN SYSTEM COMPREHENSIV,Align Technology do Brasil LTDA,14541103,1,401484,2021/828066,14/08/2021,"Rua Rodrigues Alves, Curitiba - Paraná",PR
1708,INVISALIGN SYSTEM COMPREHENSIV,Align Technology do Brasil LTDA,11836807,1,401800,2021/828066,14/08/2021,"Rua Rodrigues Alves, Curitiba - Paraná",PR
1709,INVISALIGN SYSTEM COMPREHENSIV,Align Technology do Brasil LTDA,14256353,1,401972,2021/828066,14/08/2021,"Rua Rodrigues Alves, Curitiba - Paraná",PR
1710,INVISALIGN SYSTEM COMPREHENSIV,Align Technology do Brasil LTDA,14308773,1,401998,2021/828066,14/08/2021,"Rua Rodrigues Alves, Curitiba - Paraná",PR
1711,INVISALIGN SYSTEM COMPREHENSIV,Align Technology do Brasil LTDA,14444902,1,402847,2021/828066,14/08/2021,"Rua Rodrigues Alves, Curitiba - Paraná",PR
1712,INVISALIGN SYSTEM COMPREHENSIV,Align Technology do Brasil LTDA,14258442,1,403067,2021/828066,14/08/2021,"Rua Rodrigues Alves, Curitiba - Paraná",PR
1713,INVISALIGN SYSTEM COMPREHENSIVE,Align Technology do Brasil LTDA,12529670,1,278613,2021-003414068-001,20/01/2021,"Rua Curitiba, Belo Horizonte",MG
1714,INVISALIGN SYSTEM COMPREHENSIVE,Align Technology do Brasil LTDA,12106751,1,277472,2021-003414068-001,20/01/2021,"Rua Curitiba, Belo Horizonte",MG
1715,INVISALIGN SYSTEM COMPREHENSIVE,Align Technology do Brasil LTDA,11968054,1,278150,2021-003414068-001,20/01/2021,"Rua Curitiba, Belo Horizonte",MG
1716,INVISALIGN SYSTEM COMPREHENSIVE,Align Technology do Brasil LTDA,12426875,1,278457,2021-003414068-001,20/01/2021,"Rua Curitiba, Belo Horizonte",MG
1717,INVISALIGN SYSTEM COMPREHENSIVE,Align Technology do Brasil LTDA,12529112,1,277950,2021-003414068-001,20/01/2021,"Rua Curitiba, Belo Horizonte",MG
1718,INVISALIGN SYSTEM COMPREHENSIVE,Align Technology do Brasil LTDA,12581428,1,277445,2021-003414068-001,20/01/2021,"Rua Curitiba, Belo Horizonte",MG
1719,INVISALIGN SYSTEM LITE,Align Technology do Brasil LTDA,12038709,1,337941,21E0179001395,17/05/2021,"Rua Djanira Maria da Conceição, Caruaru/PE",PE
1720,INVISALIGN SYSTEM LITE,Align Technology do Brasil LTDA,14071460,1,384601,2195/2021,21/07/2021,"Rua Doutor Cesário Mota, Santo André - São Paulo",SP
1721,INVISALIGN SYSTEM LITE,Align Technology do Brasil LTDA,14071460,1,384601,2195/2021,19/07/2021,"Rua Doutor Cesário Mota, Santo André - São Paulo",SP
1722,INVISALIGN SYSTEM LITE,Align Technology do Brasil LTDA,12523457,1,402076,2021/828066,14/08/2021,"Rua Rodrigues Alves, Curitiba - Paraná",PR
1723,Invisible Trial SCS - Controlador do Paciente,St Jude Medical Brasil Ltda,CCQXR44WGGNK,1,426702,3408/2020,11/11/2020,Itapevi,SP
1724,Invisible Trial SCS - Controlador do Paciente,St Jude Medical Brasil Ltda,CCQXW06LGGNK,1,432131,3408/2020,11/11/2020,Itapevi,SP
1725,Invisible Trial SCS - Controlador do Paciente,St Jude Medical Brasil Ltda,CCQXV6K2GGNK,1,429103,3408/2020,11/11/2020,Itapevi,SP
1726,Invisible Trial SCS - Controlador do Paciente,St Jude Medical Brasil Ltda,CCQXW2LZGGNK,1,429103,3408/2020,11/11/2020,Itapevi,SP
1727,Invisible Trial SCS - Controlador do Paciente,St Jude Medical Brasil Ltda,CCQXW0LHGGNK,1,432131,3408/2020,11/11/2020,Itapevi,SP
1728,Invisible Trial SCS - Controlador do Paciente,St Jude Medical Brasil Ltda,CCQXV6HNGGNK,1,432131,3408/2020,11/11/2020,Itapevi,SP
1729,Invisible Trial SCS - Controlador do Paciente,St Jude Medical Brasil Ltda,CCQXW0UNGGNK,1,429103,3408/2020,11/11/2020,Itapevi,SP
1730,Invisible Trial SCS - Controlador do Paciente,St Jude Medical Brasil Ltda,CCQXW1VUGGNK,1,429103,3408/2020,11/11/2020,Itapevi,SP
1731,Invisible Trial SCS - Controlador do Paciente,St Jude Medical Brasil Ltda,CCQXR3NKGGNK,1,426701,3408/2020,11/11/2020,Itapevi,SP
1732,Invisible Trial SCS - Controlador do Paciente,St Jude Medical Brasil Ltda,SCCQXP6RCGGNK,1,448393,126/2021,12/01/2021,Itapevi,SP
1733,Invisible Trial SCS - Controlador do Paciente,St Jude Medical Brasil Ltda,SCCQXT4URGGNK,1,448393,126/2021,12/01/2021,Itapevi,SP
1734,Invisible Trial SCS - Controlador do Paciente,St Jude Medical Brasil Ltda,SCCQXP7A9GGNK,1,448393,126/2021,12/01/2021,Itapevi,SP
1735,Invisible Trial SCS - Controlador do Paciente,St Jude Medical Brasil Ltda,SCCQXP79MGGNK,1,448393,126/2021,12/01/2021,Itapevi,SP
1736,Invisible Trial SCS - Controlador do Paciente,St Jude Medical Brasil Ltda,SCCQXJ28WGGNK,1,448393,126/2021,12/01/2021,Itapevi,SP
1737,Invisible Trial SCS - Controlador do Paciente,St Jude Medical Brasil Ltda,SCCQXJ1P2GGNK,1,448393,126/2021,12/01/2021,Itapevi,SP
1738,Invisible Trial SCS - Controlador do Paciente,St Jude Medical Brasil Ltda,SCCQXJ2ANGGNK,1,448393,126/2021,12/01/2021,Itapevi,SP
1739,Invisible Trial SCS - Controlador do Paciente,St Jude Medical Brasil Ltda,SCCQXT3M2GGNK,1,448393,126/2021,12/01/2021,Itapevi,SP
1740,Invisible Trial SCS - Controlador do Paciente,St Jude Medical Brasil Ltda,SCCQXQ049GGNK,1,450503,126/2021,12/01/2021,Itapevi,SP
1741,"IS-I POCKET ADAPTER, 25 CM.",St Jude Medical Brasil Ltda,7539282,1,453494,Não aplicável,25/01/2021,Aparecida de Goiânia,GO
1742,ISO PERF VERIFIER II BX/6 SETS,"Ortho Clinical Diagnosticos do Bras Produtos paraSaude LTDA",L8398,1,000.068.633,021-03743/2021,06/05/2021,Rio de Janeiro,RJ
1743,ISOFLEX OPTIUM - ELETRDO ENDOC.,ST. JUDE MEDICAL BRASIL LTDA.,CPG223962,1,465767,9130/2021/100929,16/08/2021,CANOAS,RS
Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade*,UF*
1744,ISOFLEX OPTIUM - ELETRDO ENDOC.,ST. JUDE MEDICAL BRASIL LTDA.,CPG224983,1,465767,9130/2021/100929,16/08/2021,CANOAS,RS
1745,ISOFLEX OPTIUM - ELETRDO ENDOC.,ST. JUDE MEDICAL BRASIL LTDA.,CPG224985,1,465767,9130/2021/100929,16/08/2021,CANOAS,RS
1746,ISOFLEX OPTIUM - ELETRDO ENDOC.,ST. JUDE MEDICAL BRASIL LTDA.,CPG224987,1,465767,9130/2021/100929,16/08/2021,CANOAS,RS
1747,ITERO ELEMENT 5D,Align Technology do Brasil LTDA,BLX2021W10A425,1,15984,AP8019-1/2021,23/09/2021,"Rua Niels Christian Soerensen, Parelheiros",SP
1748,KIT 3M LACTEOS UHT 3000,3M DO BRASIL LTDA.,4500356472,1,600537,9130/2021/100929,16/08/2021,CANOAS,RS
1749,Kit curativo foam Carilex grande,Vide Bula,I090415002,1,120550,073/04902/2021,29/07/2021,SÃO GONÇALO,RJ
1750,Kit curativo foam Carilex médio,Vide Bula,I090206006,1,120550,073/04902/2021,29/07/2021,SÃO GONÇALO,RJ
1751,Kit curativo foam Carilex pequeno,Vide Bula,I091029002,1,120550,073-04902/2021,29/07/2021,SÃO GONÇALO,RJ
1752,Kit curativo foam espiral Carilex,Vide Bula,I091029004,1,120550,073/04902/2021,29/07/2021,SÃO GONÇALO,RJ
1753,KIT DE BANDA LARGA SEM FIO PAR,St. Jude Medical Brasil Ltda.,5020222,1,296596,N/A,30/08/2021,São Paulo,SP
1754,KIT DE IMPLANTACAO CPS,ST. JUDE MEDICAL BRASIL LTDA.,J4-04200,1,419890,N/A,12-Ago-21,MANAUS,AM
1755,Kit de manutenção preventiva MC XL AC,SIRONA DENTAL SYSTEM,SIR035-21,1 pce,105199,0407982/2021-BO-00084.2021.0000612,27/05/2021,Joinville,SC
1756,Kit de manutenção preventiva MC XL AC,SIRONA DENTAL SYSTEM,SIR035-21,1 pce,105204,0407982/2021-BO-00084.2021.0000612,27/05/2021,Joinville,SC
1757,KIT ELETRODO SUPERF. NAVX,ST. JUDE MEDICAL BRASIL LTDA.,33319740 / 810956,1,384770,N/A,24/07/2021,CUIABA,MT
1758,Kit XGEN MASTER COVID-19 - XG-CV19-MB-96: 96 testes,Mobius Life Science,32100685,15,000.001.341,9130/2021/100929,16/08/2021,Canoas,RS
1759,K-MED,CIMED INDUSTRIA DE MEDICAMENTOS LTDA,2106591,9,131390 / 131.942,071-0362/2021-02,09/09/2021,ITABORAÍ,RJ
1760,K-MED 2 EM 1,CIMED INDUSTRIA DE MEDICAMENTOS LTDA,2110172,2,131942,071-0362/2021-02,09/09/2021,ITABORAÍ,RJ
1761,K-MED 2 EM 1 GEL FR 203 G,CIMED INDÚSTRIA DE MEDICAMENTOS LTDA,2104610,2,85740,090-01936/2021,14/05/2021,ITAGUAÍ,RJ
1762,K-MED 2 EM 1 GEL FR 203 G,CIMED INDÚSTRIA DE MEDICAMENTOS LTDA,2118764,55,"149654 / 149780 / 149781 / 150011 /150174",021-09060/2021,04/11/2021,MARÉ,RJ
1763,K-MED 2 EM 1 GEL FR 203 G,CIMED INDÚSTRIA S.A.,2111650,3,000.741.536,2021-055487745-002,18/11/2021,BETIM,MG
1764,K-MED GEL BG 100 G,CIMED INDÚSTRIA DE MEDICAMENTOS LTDA,2117441,86,"150556/ 149654 / 149780 / 149781 /150011 / 150174",021-09060/2021,04/11/2021,MARÉ,RJ
1765,K-MED GEL BG 25 G,CIMED INDÚSTRIA DE MEDICAMENTOS LTDA,2104505,6,85740,090-01936/2021,14/05/2021,ITAGUAÍ,RJ
1766,K-MED GEL BG 25 G,CIMED INDÚSTRIA DE MEDICAMENTOS LTDA,2115363,12,149900,021-09060/2021,04/11/2021,MARÉ,RJ
1767,K-MED GEL BG 25 G,CIMED INDÚSTRIA DE MEDICAMENTOS LTDA,2117718,1,149900,021-09060/2021,04/11/2021,MARÉ,RJ
1768,K-MED GEL BG 25 G,CIMED INDÚSTRIA DE MEDICAMENTOS LTDA,2120939,7,149900,021-09060/2021,04/11/2021,MARÉ,RJ
1769,K-MED GEL BG 50 G,CIMED INDÚSTRIA S.A.,2114730,12,000.741.529,2021-055487745-002,18/11/2021,BETIM,MG
1770,K-MED GEL BG 50 G,CIMED INDÚSTRIA S.A.,2114730,6,000.741.536,2021-055487745-002,18/11/2021,BETIM,MG
1771,K-MED GEL BG 50 G,CIMED INDÚSTRIA DE MEDICAMENTOS LTDA,2102184,70,"86009 / 85740 / 86157 / 86128 / 86146/ 86579",090-01936/2021,14/05/2021,ITAGUAÍ,RJ
1772,K-MED GEL BG 50 G,CIMED INDUSTRIA DE MEDICAMENTOS LTDA,2106596,7,689514,2021-038746715-001,12/08/2021,BORDA DA MATA -MG,MG
1773,K-MED GEL BG 50 G,CIMED INDÚSTRIA DE MEDICAMENTOS LTDA,2111136,96,"149654 / 149780 / 149781 / 150340/149900 / 150011 / 150174",021-09060/2021,04/11/2021,MARÉ,RJ
1774,K-MED GEL CEREJA COM LIMÃO,CIMED INDUSTRIA DE MEDICAMENTOS LTDA,2110848,1,131942,071-0362/2021-02,09/09/2021,ITABORAÍ,RJ
1775,K-MED GEL MENTA REFRESCANTE,CIMED INDUSTRIA DE MEDICAMENTOS LTDA,2110849,1,131942,071-0362/2021-02,09/09/2021,ITABORAÍ,RJ
1776,K-MED HOT,CIMED INDUSTRIA DE MEDICAMENTOS LTDA,2113132,1,131942,071-0362/2021-02,09/09/2021,ITABORAÍ,RJ
1777,K-MED HOT FR 200 G,CIMED INDÚSTRIA DE MEDICAMENTOS LTDA,2120154,8,150556 / 149962,021-09060/2021,04/11/2021,MARÉ,RJ
1778,"KN95 PROTECTIVE MASK EXECUTION STANDARD -MASCARA HOSPITALAR - IFRACON","INFRACON RIO COMERCIAL E SERVICOTECNICOS",20200418,4.000 UNI,10443525,025-00994/2021,30/03/2021,"PRAÇA DA REPÚBLICA, 111 - MUNICÍPIO - RIODE JANEIRO",RJ
1779,K-SEX HOT GEL FR C/ 50G,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL,2106730,6 UN,000370766-1,1116847/2021,23/06/2021,SÃO PAULO,SP
1780,K-SEX NATURAL GEL BG C/ 50G,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL,2111362,6 UN,000370766-1,1116847/2021,23/06/2021,SÃO PAULO,SP
1781,K-SEX NATURAL GEL BG C/ 50G,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL,2119173,1 UN,000403607-1,AS0977-1/2021 / 2028924/2021,06/10/2021,SÃO PAULO - SP,SP
1782,K-SEX NATURAL GEL BG C/ 50G,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL,2119173,3 UN,000403794-1,AS0977-1/2021 / 2028924/2021,06/10/2021,SÃO PAULO - SP,SP
1783,K-SEX NATURAL GEL BG C/ 50G,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL,2127352,1 UN,000416881-1,3826/2021,19/11/2021,CAMPINAS,SP
1784,K-SEX NATURAL GEL BG C/ 50G,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL,2127352,6 UN,000416696-1,3826/2021,19/11/2021,CAMPINAS,SP
Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade*,UF*
1785,K-SEX NATURAL GEL BG C/ 50G,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL,2127352,2 UN,000417984-1,2346963/2021,30/11/2021,RIBEIRÃO PRETO,SP
1786,KT 3005 3M MLS SOLUÇÃO LIMPEZA,3M DO BRASIL LTDA.,4500356472,1,600537,9130/2021/100929,16/08/2021,CANOAS,RS
1787,l1DMA -5.00-0.75/170 (8.5) DIAG LENTE,JOHNSON & JOHNSON,3049810102,1,4214066,2080/2021,16/09/2021,SANTO ANDRÉ,SP
1788,LACTATO - REATIVO SECO VITROS,"Ortho Clinical Diagnosticos do Bras Produtos paraSaude LTDA",3001125138,6,000.068.633,021-03743/2021,06/05/2021,Rio de Janeiro,RJ
1789,LACTATO (50 ML),QUIBASA QUÍMICA BÁSICA LTDA,43,10,99552,5833-2021-100304,16/08/2021,PORTO ALEGRE,RS
1790,LACTOCARE CP 2X15,KLEY HERTZ DISTRIBUIDORA,160328,4 unidades,333917,2021/378528,01/03/2021,CURITIBA,PR
1791,"LAMINAS DE BISTURI DESCARTÁVEIS N20 AÇOCARBONO",SG TECNOLOGIA CLÍNICA LTDA,E1290,10,1379,1732/2019,30/07/2019,São Miguel Paulista / São Paulo,SP
1792,LANCETA D ESEGURANÇA SL UNIQMED 28G,SG TECNOLOGIA CLÍNICA LTDA,1808123702,4,1379,1732/2019,30/07/2019,São Miguel Paulista / São Paulo,SP
1793,LANCETAS UNIQMED 30G,SG TECNOLOGIA CLÍNICA LTDA,190101,10,1379,1732/2019,30/07/2019,São Miguel Paulista / São Paulo,SP
1794,LBISTURI 15 GRAUS 5.0 MM SHARPOINT,JJSV PRODUTOS ÓTICOS LTDA,AAGS247,08 UNID.,264856,BO não registrado para Extravio da Mercadoria,03/09/2021,Fluxo Postal Correios,-
1795,LifepenG (caneta reutilizável para insulina glargina),"Biomm S.ACNPJ: 04.752.991/0001-10",2001901,50 unidades,NF 1885,054-02747/2021,22/04/2021,"Imediações da presidente Dutra, loja de materialChatuba, na rua Adilma, Rio de Janeiro.",RJ
1796,LIGACLIP* ENDOSCOPICO RS C/20,Empório Hospitalar Com. Prod. Cirurg. Hosp. Ltda,U40N1G,2,606831,4628/2021,26/07/2021,Campinas,SP
1797,Ligasure Divisor Selador aberto curvo,AUTOSUTURE,S0LH714X,2,412272,154042521052001/2051,20/05/2021,"KM 230 da BR 251/MG, Municipio de Santa Cruzde Salinas/MG",MG
1798,Ligasure Impact - Nano revestido,AUTOSUTURE,03380022X,1,412272,154042521052001/2051,20/05/2021,"KM 230 da BR 251/MG, Municipio de Santa Cruzde Salinas/MG",MG
1799,LINER,Vigodent Indústria e Comércio LDTA,2102406,12,94857,918-00438/2021,06/10/2021,"Rodovia Washington Luiz, 0- Duque de Caxias",RJ
1800,LIO ACR. TECNIS TORICA 1PC 17.0D CYL2.25,JJSV PRODUTOS ÓTICOS LTDA,6648062101,01 UNID.,251966,BO não registrado para Extravio da Mercadoria,15/08/2021,Fluxo Postal Correios,-
1801,LIO ACR. TECNIS TORICA 1PC 20.0D CYL2.25,JJSV PRODUTOS ÓTICOS LTDA,5789832102,01 UNID.,258107,BO não registrado para Extravio da Mercadoria,12/09/2021,Fluxo Postal Correios,-
1802,LIO ACR. TECNIS TORICA 1PC 25.0D,JJSV PRODUTOS ÓTICOS LTDA,5397291907,01 UNID.,202287,BO não registrado para Extravio da Mercadoria,05/08/2020,Fluxo Postal Correios,
1803,LIO ACR. TECNIS TORICA 1PC 28.0D,JJSV PRODUTOS ÓTICOS LTDA,8152721919,01 UNID.,202287,BO não registrado para Extravio da Mercadoria,05/08/2020,Fluxo Postal Correios,
1804,LIO ACR. TECNIS1 TORICA MF 19.0D CYL3.0,JJSV PRODUTOS ÓTICOS LTDA,4163131912,01 UNID.,251966,BO não registrado para Extravio da Mercadoria,15/08/2021,Fluxo Postal Correios,-
1805,LIO ACRILICA SENSAR 1PC 21.5D,JJSV PRODUTOS ÓTICOS LTDA,4330862103,01 UNID.,251966,BO não registrado para Extravio da Mercadoria,15/08/2021,Fluxo Postal Correios,-
1806,LIO ACRILICA SENSAR 1PC 21.5D,JJSV PRODUTOS ÓTICOS LTDA,4331242103,01 UNID.,251966,BO não registrado para Extravio da Mercadoria,15/08/2021,Fluxo Postal Correios,-
1807,LIO ACRILICA SENSAR 1PC 21.5D,JJSV PRODUTOS ÓTICOS LTDA,4332442103,01 UNID.,251966,BO não registrado para Extravio da Mercadoria,15/08/2021,Fluxo Postal Correios,-
1808,LIO ACRILICA SENSAR 1PC 21.5D,JJSV PRODUTOS ÓTICOS LTDA,4331602103,01 UNID.,251966,BO não registrado para Extravio da Mercadoria,15/08/2021,Fluxo Postal Correios,-
1809,LIO ACRILICA SENSAR 1PC 21.5D,JJSV PRODUTOS ÓTICOS LTDA,4331762103,01 UNID.,251966,BO não registrado para Extravio da Mercadoria,15/08/2021,Fluxo Postal Correios,-
1810,LIO ACRILICA SENSAR 1PC 21.5D,JJSV PRODUTOS ÓTICOS LTDA,4333382103,01 UNID.,251966,BO não registrado para Extravio da Mercadoria,15/08/2021,Fluxo Postal Correios,-
1811,LIO ACRILICA SENSAR 1PC 25.5D,JJSV PRODUTOS ÓTICOS LTDA,3059202011,01 UNID.,251966,BO não registrado para Extravio da Mercadoria,15/08/2021,Fluxo Postal Correios,-
