1690,DEMEDROX 150MG/ML SUS INJ C/1 SERINGA,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1833187,12 UN,15824 UN,63 UN,000217557-1,143/2020,10/01/2020,Capão Redondo,SP
1691,DEMEDROX 150MG/ML SUS INJ C/1 SERINGA,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",1833186,63 CARTUCHOS,14.753 CT,16 CT,382549,001297.01.2020.0.00.704,26/12/2019,JOÃO PESSOA,PB
1692,DEMEDROX 150MG/ML SUS INJ C/1 SERINGA,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",1907015,70 CARTUCHOS,14.173 CT,3 CT,420807,1467386/2020,08/06/2020,GUARULHOS,SP
1693,DEMEDROX 150MG/ML SUS INJ C/1 SERINGA,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1907049,1 UN,ÃO SE APLICA A DISTRIBUIDORA,0 UN,000276361-1,16823045,31/08/2020,SÃO PAULO,SP
1694,DEMEDROX 150MG/ML SUS INJ C/1 SERINGA,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2033090,3 UN,"NÃO SE APLICA PARADISTRIBUIDORAS",3 UN,000300603-1,4316/2020,03/11/2020,CAMPINAS,SP
1695,DEOCIL SL (8715),"DIFFUCAP CHEMOBRAS QUÍMICAE FARMACÊUTICA LTDA",D200199,12 cartuchos,29.020 cartuchos,0 cartuchos,65580,918-00281/2020,15/10/2020,Av. Brasil - Bonsucesso,RJ
1696,DEOCIL SL (8715),"DIFFUCAP CHEMOBRAS QUÍMICAE FARMACÊUTICA LTDA",D200199,12348 cartuchos,29.020 cartuchos,0 cartuchos,65581,918-00281/2020,15/10/2020,Av. Brasil - Bonsucesso,RJ
1697,DEOCIL SL (8715),"DIFFUCAP CHEMOBRAS QUÍMICAE FARMACÊUTICA LTDA",D200200,1200 cartuchos,28.276 cartuchos,77151 cartuchos,65581,918-00281/2020,15/10/2020,Av. Brasil - Bonsucesso,RJ
1698,DEOCIL SL (8715),"DIFFUCAP CHEMOBRAS QUÍMICAE FARMACÊUTICA LTDA",D200200,13440 cartuchos,28.276 cartuchos,77151 cartuchos,65582,918-00281/2020,15/10/2020,Av. Brasil - Bonsucesso,RJ
1699,DEOCIL SL (8715),"DIFFUCAP CHEMOBRAS QUÍMICAE FARMACÊUTICA LTDA",D200200,2172 cartuchos,28.276 cartuchos,77151 cartuchos,65583,918-00281/2020,15/10/2020,Av. Brasil - Bonsucesso,RJ
1700,DEOCIL SL 10MG C/10 COMP,DIFFUCAP CHEMOBRAS,D190248,3,-,-,11299457,2114/2020,06/03/2020,GUARUJÁ,SP
1701,DEOCIL SL 10MG C/10 COMP,DIFFUCAP CHEMOBRAS,D190248,1,-,-,11302389,2114/2020,06/03/2020,GUARUJÁ,SP
Ordem,Produto*,Empresa*,No Lote*,"Quantidade Roubada/ Furtada/Extraviada*","Quantidade Fabricada/Importada",Quantidade Estoque,No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
1702,DEOCIL SL 10MG C/10 COMP,DIFFUCAP CHEMOBRAS,D190248,2,-,-,11306869,2114/2020,06/03/2020,GUARUJÁ,SP
1703,Depakote ER 250 mg,Abbott Laboratórios do Brasil Ltda.,1117839,3 caixas,55.771,170,260017,4.807/2020-0,20/10/2020,Guará,DF
1704,Depakote ER 250 mg,Abbott Laboratórios do Brasil Ltda.,1131484,66 caixas,54.552,0,000260218,"2099/20202112/2020",12/11/2020,São Paulo,SP
1705,Depakote ER 500 mg,Abbott Laboratórios do Brasil Ltda.,1122073,4 caixas,38.268,0,260017,4.807/2020-0,20/10/2020,Guará,DF
1706,Depakote ER 500 mg,Abbott Laboratórios do Brasil Ltda.,1122073,35 caixas,38.268,0,000260218,"2099/20202112/2020",12/11/2020,São Paulo,SP
1707,DEPO MEDROL 40MG INJ,Wyeth,AR5487,420,66.932,54.894,192009,"M1073-2020-00000156 / 2020-002011453-001",12/01/2020,BR 381 Carmo da Cachoeira,MG
1708,DEPO PROVERA 150MG C/SER PRE-CAR,"WYETH INDUSTRIAFARMACEUTICA LTDA",AF6643,4,-,-,11306869,2114/2020,06/03/2020,GUARUJÁ,SP
1709,DEPURA 1.000 UI 15 CAP GEL AG,SANOFI MEDLEY,1200002033,90 CARTUCHOS,60.435,16.729,000034464,-,19/12/2019,RIO DE JANEIRO,RJ
1710,DEPURA 1.000 UI 15 CAP GEL AG,SANOFI MEDLEY,1200002033,90 CARTUCHOS,60.435,16.729,000034464,-,19/12/2019,RIO DE JANEIRO,RJ
1711,DEPURA 2.000 UI 15 CPR REV AG,SANOFI MEDLEY,32247,1 CARTUCHO,31.650,50,30995,1530403/2020,15/10/2020,"AVENIDA JORNALISTA PAULO ZING,810 JAD LOG",-
1712,DEPURA 2.000 UI 15 CPR REV AG,SANOFI MEDLEY,32247,1 CARTUCHO,31.662,zero,33.978,17232999,08/10/2020,"Avenida Anápolis , Goiânia",GO
1713,DEPURA 50.000 UI 2 CAP GEL AG,SANOFI MEDLEY,1200001941,90 CARTUCHOS,168.835,13.552,000034464,-,19/12/2019,RIO DE JANEIRO,RJ
1714,DEPURA 50.000 UI 2 CAP GEL AG,SANOFI MEDLEY,1200001941,90 CARTUCHOS,168.835,13.552,000034464,-,19/12/2019,RIO DE JANEIRO,RJ
1715,DEPURA 7.000 UI 4 CAP GEL AG,SANOFI MEDLEY,1200001991,135 CARTUCHOS,87.480,6.432,000034464,-,19/12/2019,RIO DE JANEIRO,RJ
1716,DEPURA 7.000 UI 4 CAP GEL AG,SANOFI MEDLEY,1200001991,135 CARTUCHOS,87.480,6.432,000034464,-,19/12/2019,RIO DE JANEIRO,RJ
1717,DEPURA 7.000 UI 4 CPR REV AG,SANOFI MEDLEY,31201,250 CARTUCHOS,117.190,11.785,000034464,-,19/12/2019,RIO DE JANEIRO,RJ
1718,DEPURA 7.000 UI 4 CPR REV AG,SANOFI MEDLEY,31201,250 CARTUCHOS,117.190,11.785,000034464,-,19/12/2019,RIO DE JANEIRO,RJ
1719,DEPURA 7.000 UI 4 CPR REV AG,SANOFI MEDLEY,26771,2 CARTUCHOS,154920,zero,25260,3417/2020,29/07/2020,"Avenida Julia Gaiolli, 740 - Água Chata - Guarulhos/SP",SP
1720,DEPURA 7.000 UI 4 CPR REV AG,SANOFI MEDLEY,31201,2 CARTUCHOS,52758,zero,25758,3417/2020,29/07/2020,"Avenida Julia Gaiolli, 740 - Água Chata - Guarulhos/SP",SP
1721,DEPURA 7.000 UI 4 CPR REV AG,SANOFI MEDLEY,31201,2 CARTUCHOS,169680,zero,27207,3417/2020,29/07/2020,"Avenida Julia Gaiolli, 740 - Água Chata - Guarulhos/SP",SP
1722,DEPURA 7.000 UI 4 CPR REV AG,SANOFI MEDLEY,31201,2 CARTUCHOS,163060,zero,27465,3417/2020,29/07/2020,"Avenida Julia Gaiolli, 740 - Água Chata - Guarulhos/SP",SP
1723,DEPURA 7.000 UI 4 CPR REV AG,SANOFI MEDLEY,31201,2 CARTUCHOS,92900,zero,27593,3417/2020,29/07/2020,"Avenida Julia Gaiolli, 740 - Água Chata - Guarulhos/SP",SP
1724,DEPURA 7.000 UI 4 CPR REV AG,SANOFI MEDLEY,31201,2  CARTUCHO,117.190,3.216,28708,1228607/2020,27/08/2020,"AVENIDA JORNALISTA PAULO ZINGG, 810 EMPRESAJAD LOG",-
1725,DEPURA 7.000 UI 4 CPR REV AG,SANOFI MEDLEY,31201,2 CARTUCHO,117.190,150,30995,1530403/2020,15/10/2020,"AVENIDA JORNALISTA PAULO ZING,810 JAD LOG",-
1726,DEPURA 7.000 UI 8 CPR REV,SANOFI MEDLEY,513055,58492 CARTUCHOS,58.529,zero,16599,1579/2020,17/03/2020,"Rodovia Dom Pedro,65",
1727,DEPURA ODT 7.000 UI 4 CPR AG,SANOFI MEDLEY,ARA01426V,2 CARTUCHO,84.711,48.110,35851,3553/2020,17/10/2020,Diadema,SP
1728,DERMDRYL LOÇAO COSMETICO 100ML,LABORATÓRIO TEUTO BRASILEIRO,9682038,576 CAIXAS,"PRODUTO TERCEIRO (APENASDISTRIBUIÇÃO)",0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
1729,DERMOBAN 2% CRM 15G,"CAZI QUIMICA FARMACEUTICAINDUSTRIA E COMERCIO LTDA",,3 CAIXAS,,3,44,3438 / 2020 / 100425,21/05/2020,DROGARIA,-
1730,DERMODEX PREVENT,RECKITT BENCKIS,448047,40 CAIXAS,XXXX,XXXX,172797,918-00081/2020,21/02/2020,"AVENIDA PARIS, 00, BAIRRO BONSUCESSO,MUNICÍPIO: RIO DE JANEIRO",RJ
1731,DERMOPANTOL BG LAM X 20G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1925142,4 UN,16556 UN,1 UN,000218150-1,44/2020 e 49/2020 Complementar,11 e 14/01/2020,Brotas,SP
1732,DERMS 50MG/G  5MG/G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",1923789,3 UNIDADES,1440,0,126346,2020-007218940-001,11/02/2020,VARGINHA,MG
1733,DERMS 50MG/G 5MG/G POM X 30G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1912485,2 UN,14356 UN,34 UN,000217156-1,143/2020,10/01/2020,Capão Redondo,SP
1734,DERMS 50MG/G 5MG/G POM X 30G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1912485,12 UN,14356 UN,34 UN,000218100-1,44/2020 e 49/2020 Complementar,11 e 14/01/2020,Brotas,SP
1735,DERMS 50MG/G 5MG/G POM X 30G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1912485,4 UN,14356 UN,34 UN,000218133-1,44/2020 e 49/2020 Complementar,11 e 14/01/2020,Brotas,SP
1736,DERMS 50MG/G 5MG/G POM X 30G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1912485,5 UN,14356 UN,34 UN,000218175-1,44/2020 e 49/2020 Complementar,11 e 14/01/2020,Brotas,SP
1737,DERMS 50MG/G 5MG/G POM X 30G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1912485,12 UN,14356 UN,34 UN,000218203-1,44/2020 e 49/2020 Complementar,11 e 14/01/2020,Brotas,SP
1738,DERMS 50MG/G 5MG/G POM X 30G,PRODUTOS FARMACÊUTICOS,1921403,4 UNIDADES,2240,0,15651,025951/2020,04/03/2020,PARNAMIRIM,RN
1739,DERMS 50MG/G 5MG/G POM X 30G,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2022017,2,1680,0,160024,16078925,31/07/2020,SÃO PAULO,SP
1740,DERMS 50MG/G 5MG/G POM X 30G,PRODUTOS FARMACÊUTICOS,2018842,6,-,-,166824,20E2141001507,11/07/2020,Jaboatão dos Guararapes,PE
1741,DERMS 50MG/G 5MG/G POM X 30G,PRODUTOS FARMACÊUTICOS,2018842,4,-,-,166827,20E2141001507,11/07/2020,Jaboatão dos Guararapes,PE
1742,DESAFTAN 1X25 ML,"KLEY HERTZ FARMACÊUTICAS.A.",167187,2,16.918,0,730904,2199/2020,14/09/2020,SÃO PAULO,SP
1743,DESAFTAN 1X25 ML,"KLEY HERTZ FARMACÊUTICAS.A.",167187,2,16.918,0,730905,2199/2020,14/09/2020,SÃO PAULO,SP
1744,DESALEX 0.5MG/ML 100ML ORAL,MERCK SHARP & DOHME,S021911,444 UNIDADES,19.260,0,50570,PRF 19056559B01/19056559B02,15/10/2019,ARAPORÃ,MG
1745,DESALEX 0.5MG/ML 60ML ORAL BRA,MERCK SHARP & DOHME,S016106,156 UNIDADES,31.860,1.229,50568,PRF 19056559B01/19056559B02,15/10/2019,ARAPORÃ,MG
1746,DESALEX 0.5MG/ML 60ML ORAL BRA,MERCK SHARP & DOHME,S016106,180 UNIDADES,31.860,1.229,50572,PRF 19056559B01/19056559B02,15/10/2019,ARAPORÃ,MG
1747,DESALEX 5MG 10TAB BRA,MERCK SHARP & DOHME,S016025,180 UNIDADES,12.393,1.895,50570,PRF 19056559B01/19056559B02,15/10/2019,ARAPORÃ,MG
Ordem,Produto*,Empresa*,No Lote*,"Quantidade Roubada/ Furtada/Extraviada*","Quantidade Fabricada/Importada",Quantidade Estoque,No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
1748,DESALEX 5MG 10TAB BRA,MERCK SHARP & DOHME,S016025,80 UNIDADES,12.393,1.895,50572,PRF 19056559B01/19056559B02,15/10/2019,ARAPORÃ,MG
1749,DESALEX 5MG 30TAB BRA,MERCK SHARP & DOHME,S016026,252 UNIDADES,9.880,1,50570,PRF 19056559B01/19056559B02,15/10/2019,ARAPORÃ,MG
1750,DESLORATADINA,BIOSINTÉTICA,1901633,1,0,0,880977,182/2020-0,09/01/2020,BRASÍLIA,DF
1751,"DESLORATADINA 0,5MG/ML XPE VD 100ML","PRATI, DONADUZZI E CIA LTDA",20B483,3,3,0,486374,2020-055465836-001,17.11.2020,Betim,MG
1752,"DESLORATADINA 0,5MG/ML XPE VD 60ML","PRATI, DONADUZZI E CIA LTDA",20A273,6,6,0,422268,2020-016912409-001,08/04/2020,Belo Horizonte,MG
1753,"DESLORATADINA 0,5MG/ML XPE VD 60ML","PRATI, DONADUZZI E CIA LTDA",20A817,2,2,0,430225,2020-021358323-001,05/05/2020,Belo Horizonte,MG
1754,"DESLORATADINA 0,5MG/ML XPE VD 60ML","PRATI, DONADUZZI E CIA LTDA",19L491,1 unidades,1,1,313971,-,29/04/2020,-,PR
1755,DESLORATADINA 5 MG 30 CPR,NOVA QUIMICA,1T7815,6,NA,NA,84.649,2020-055419157-001,10/11/2020,"RUA JOSE ALVES DA SILVA, 69.  BAIRRO CAIÇARAS - BELOHORIZONTE/MG",MG
1756,DESLORATADINA 5 MG 30 CPR,NOVA QUIMICA,1T7815,1,NA,NA,84.717,2020-055419157-001,10/11/2020,"RUA JOSE ALVES DA SILVA, 69.  BAIRRO CAIÇARAS - BELOHORIZONTE/MG",MG
1757,"DESLORATADINA XPE 0,5MG/ML 60 ML",NOVA QUIMICA,1K0103,12,NA,NA,84.649,2020-055419157-001,10/11/2020,"RUA JOSE ALVES DA SILVA, 69.  BAIRRO CAIÇARAS - BELOHORIZONTE/MG",MG
1758,"DESOGES+ETINILE 0,15+0,020MG 21CPR/SDZ",DISLAB - GO,JM8238,12UN,-,-,212316,5317/2019,11/12/2019,SÃO PAULO,SP
1759,desogestrel,Sandoz do Brasil,KJ2690,72,13387,656,83904,2020-031260497-001,30/06/2020,"Avenida Rio Volga, 225 - Riacho das Pedras - contagem / MG",MG
1760,DESOGESTREL,"SANDOZ DO BRASIL INDFARMACEUTICA L",JZ9918,1,N/A,0,11281368,2341/2020,05/03/2020,São Paulo,SP
1761,"DESOGESTREL 0,075MG/COM X 1","UNIÃO QUÍMICA FARMACÊUTICANACIONAL",1945789,6,504,0,147128,16078925,21/08/2020,UBERLÂNDIA,MG
1762,"DESOGESTREL 0,075MG/COM X 1 BL (28 COM)","UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1940063,3 UN,12863 UN,13 UN,000217156-1,143/2020,10/01/2020,Capão Redondo,SP
1763,"DESOGESTREL 0,075MG/COM X 1 BL (28 COM)","UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1940063,24 UN,12863 UN,13 UN,000217313-1,143/2020,10/01/2020,Capão Redondo,SP
1764,"DESOGESTREL 0,075MG/COM X 1 BL (28 COM)","UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1941954,6 UN,12642 UN,4943 UN,000219226-1,274/2020,17/01/2020,Grajaú,MA
1765,"DESOGESTREL 0,075MG/COM X 1 BL (28 COM)","UNIÃO QUIMICA FARMACEUTICANACIONAL S/A",1943586,2,13.482,1.545,381279-1,N°14484801,07/04/2020,Aparecida de Goiânia,GO
1766,"DESOGESTREL 0,075MG/COM X 1 BL (28 COM)","UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2001202,12,9638,0,160011,16078925,31/07/2020,SÃO PAULO,SP
1767,"DESOGESTREL 0,075MG/COM X 1 BL (28 COM)","UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2001202,3,9638,0,160182,16078925,31/07/2020,SÃO PAULO,SP
1768,"DESOGESTREL 0,075MG/COM X 1 BL (28 COM)","UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2002039,2 UN,"NÃO SE APLICA PARADISTRIBUIDORAS",1439 UN,000300475-1,4316/2020,03/11/2020,CAMPINAS,SP
1769,"DESOGESTREL 0,075MG/COM X 1BL 28","UNIÃO QUÍMICA FARMACÊUTICANACIONAL",1945789,6,504,0,147128,16078925,31/07/2020,SÃO PAULO,SP
1770,"DESOGESTREL 0,075MG/COM X 1BL 28","UNIÃO QUÍMICA FARMACÊUTICANACIONAL",1945789,6,504,0,147128,16078925,31/07/2020,SÃO PAULO,SP
1771,"DESOGESTREL 0,075MG/COM X 3 BL (84 COM)","UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1941407,1 UN,4416 UN,10 UN,000216346-1,13475525,15/01/2020,Goiás,GO
1772,"DESOGESTREL 0,075MG/COM X 3 BL (84 COM)","UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1942789,3 UN,4190 UN,2839 UN,000218109-1,44/2020 e 49/2020 Complementar,11 e 14/01/2020,Brotas,SP
1773,"DESOGESTREL 0,075MG/COM X 3 BL (84 COM)","UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2002876,3,2697,0,160056,16078925,31/07/2020,SÃO PAULO,SP
1774,"DESOGESTREL 0,075MG/COM X 3 BL (84 COM)","UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2002876,3,2697,0,160104,16078925,31/07/2020,SÃO PAULO,SP
1775,"DESOGESTREL 0,075MG/COM X 3 BL (84 COM)","UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2002876,5,2697,0,160125,16078925,31/07/2020,SÃO PAULO,SP
1776,"DESOGESTREL 0,075MG/COM X 3 BL (84 COM)","UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2002876,3,2697,0,160119,16078925,31/07/2020,SÃO PAULO,SP
1777,"DESOGESTREL 0,075MG/COM X 3 BL (84 COM)","UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1942789,12 UN,ÃO SE APLICA A DISTRIBUIDORA,4 UN,000276361-1,16823045,31/08/2020,SÃO PAULO,SP
1778,"DESOGESTREL 0,075MG/COM X 3 BL (84 COM)","UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2035917,2 UN,"NÃO SE APLICA PARADISTRIBUIDORAS",1278 UN,000300475-1,4316/2020,03/11/2020,CAMPINAS,SP
1779,"DESOGESTREL 0,075MG/COM X 3 BL (84 COM)","UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2036050,18 UN,"NÃO SE APLICA PARADISTRIBUIDORAS",0 UN,000310659-1,1884088/2020,03/12/2020,SÃO PAULO,SP
1780,"DESONIDA 0,5MG/G CR 30 GR",LEGRAND,1T2064,3,NA,NA,84.641,2020-055419157-001,10/11/2020,"RUA JOSE ALVES DA SILVA, 69.  BAIRRO CAIÇARAS - BELOHORIZONTE/MG",MG
1781,DESVENLAFAXINA ALT 100MG 30 CPR - C1,"ALTHAIA AS INDUSTRIAFARMACÊUTICA",1908016167,04 CXAS COM 30 CPR,-,270,397.401,519145/2020,07/05/2020,EXTRAVIO EM POSSE DA TRANSPORTADORA,-
1782,DETRUSITOL LA 4MG X 30 CAPS,Pfizer,CA8424,108,18.029,12.460,113442,"M1073-2020-00000156 / 2020-002011453-001",12/01/2020,BR 381 Carmo da Cachoeira,MG
1783,DEXA CITONEURIN,MERCK S/A,M94992,1,N/A,0,11281416,2341/2020,05/03/2020,São Paulo,SP
1784,DEXA CITONEURIN NFF INJ C/ 3 AMP,MERCK S/A,M94991,2,-,-,11306869,2114/2020,06/03/2020,GUARUJÁ,SP
1785,DEXAMETASONA,HYPOFARMA,19040315,20 CAIXAS C/50 AMPOLAS,---------------------,-------------------,79104,073.03624/2019,27/05/2019,MUNICÍPIO DE SÃO GONÇALO,RJ
1786,DEXAMETASONA 4 MG 10 CPR,TEUTO,94570075,6,NA,NA,84.665,2020-055419157-001,10/11/2020,"RUA JOSE ALVES DA SILVA, 69.  BAIRRO CAIÇARAS - BELOHORIZONTE/MG",MG
1787,DEXAMETASONA 4 MG 10 CPR,TEUTO,94570075,1,NA,NA,84.717,2020-055419157-001,10/11/2020,"RUA JOSE ALVES DA SILVA, 69.  BAIRRO CAIÇARAS - BELOHORIZONTE/MG",MG
1788,DEXAMETASONA 4MG COMP C/ 10 GEN,LABORATÓRIO TEUTO,94570050,400 CAIXAS,49934,418,675600,20200530142832400,30/05/2020,SANTO ANTONIO DO DESCOBERTO,GO
1789,DEXAMETASONA 4MG COMP C/ 10 GEN,LABORATÓRIO TEUTO BRASILEIRO,94570046,1 CAIXA,50.488,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
1790,DEXAMETASONA 4MG COMP C/ 10 GEN,LABORATÓRIO TEUTO BRASILEIRO,94570068,100 CAIXAS,50.087,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
1791,DEXAMETASONA 4MG COMP C/ 10 GEN,LABORATÓRIO TEUTO BRASILEIRO,94570069,9800 CAIXAS,50.541,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
1792,DEXAMETASONA 4MG COMP C/ 10 GEN,LABORATÓRIO TEUTO BRASILEIRO,94570071,25000 CAIXAS,50.491,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
1793,DEXAMETASONA AC CR 10G,PRATIDONADUZZI & CIA LTDA,19K333,120,-,-,000137026-1,20E2141000053,04/01/2020,CABO DE SANTO AGOSTINHO,PE
Ordem,Produto*,Empresa*,No Lote*,"Quantidade Roubada/ Furtada/Extraviada*","Quantidade Fabricada/Importada",Quantidade Estoque,No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
1794,DEXAMETASONA AC CR 10G,PRATI DONADUZZI & CIA LTDA,19K855,50,-,-,000139076-1,20E2141000365,31/01/2020,MORENO,PE
1795,DEXAMETASONA AC CR 10G,"PRATI, DONADUZZI E CIA LTDA",20B11Q,12,12,0,422264,2020-016912409-001,08/04/2020,Belo Horizonte,MG
1796,DEXAMETASONA AC CR 10G,"PRATI, DONADUZZI E CIA LTDA",20B11Q,24,24,0,422267,2020-016912409-001,08/04/2020,Belo Horizonte,MG
1797,DEXAMETASONA AC CR 10G,"PRATI, DONADUZZI E CIA LTDA",20B16Q,6,6,0,424137,2020-018151005-001,16/04/2020,Contagem,MG
1798,DEXAMETASONA AC CR 10G,"PRATI, DONADUZZI E CIA LTDA",20B16Q,6,6,0,424154,2020-018151005-001,16/04/2020,Contagem,MG
1799,DEXAMETASONA AC CR 10G,"PRATI, DONADUZZI E CIA LTDA",20B16Q,1,1,0,424614,2020-018151005-001,16/04/2020,Contagem,MG
1800,DEXAMETASONA AC CR 10G,"PRATI, DONADUZZI E CIA LTDA",20B26Q,1,1,0,430296,2020-021358323-001,05/05/2020,Belo Horizonte,MG
1801,DEXAMETASONA AC CR 10G,"PRATI, DONADUZZI E CIA LTDA",20B26Q,2,2,0,430315,2020-021358323-001,05/05/2020,Belo Horizonte,MG
1802,DEXAMETASONA AC CR 10G,"PRATI, DONADUZZI E CIA LTDA",20B26Q,1,1,0,430318,2020-021358323-001,05/05/2020,Belo Horizonte,MG
1803,DEXAMETASONA AC CR 10G,"PRATI, DONADUZZI E CIA LTDA",20B22Q,6 unidades,6,6,316082,-,05/05/2020,-,PR
1804,DEXAMETASONA AC CR 10G,"PRATI, DONADUZZI E CIA LTDA",20C76G,3 UNIDADES,3,3,318790,-,-,-,PR
1805,DEXAMETASONA ACET 1MG/G CR 10G GEN,LABORATÓRIO TEUTO,41350100,200 CAIXAS,36687,260,675600,20200530142832400,30/05/2020,SANTO ANTONIO DO DESCOBERTO,GO
1806,DEXAMETASONA ACET 1MG/G CR 10G GEN,LABORATÓRIO TEUTO,41350099,1500 CAIXAS,36083,1562,673987,20200530142832400,30/05/2020,SANTO ANTONIO DO DESCOBERTO,GO
1807,DEXAMETASONA ACET 1MG/G CR 10G GEN,LABORATÓRIO TEUTO BRASILEIRO,41350106,2100 CAIXAS,36.406,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
1808,DEXAMETASONA ACET 1MG/G CR 10G GEN,LABORATÓRIO TEUTO BRASILEIRO,41350109,5500 CAIXAS,38.113,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
1809,DEXAMETASONA CR 10G,"PRATI, DONADUZZI E CIA LTDA",20A424,"1,000",1,1,306675,2020/270596,05/03/2020,TELEMACO BORBA,PR
1810,DEXAMETASONA CREME 10 G,CIMED,1920910,3,NA,NA,84.717,2020-055419157-001,10/11/2020,"RUA JOSE ALVES DA SILVA, 69.  BAIRRO CAIÇARAS - BELOHORIZONTE/MG",MG
1811,"DEXAMETASONA ELIX 0,1MG/ML 100 ML PET",LABORATÓRIO TEUTO BRASILEIRO,2766141,53 CAIXAS,39.820,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
1812,"DEXAMETASONA ELIX 0,1MG/ML 100 ML PET",LABORATÓRIO TEUTO BRASILEIRO,2766142,22 CAIXAS,39.668,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
1813,"DEXAMETASONA ELIX 0,1MG/ML 100 ML PET",LABORATÓRIO TEUTO BRASILEIRO,2766143,1 CAIXA,29.855,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
1814,"DEXAMETASONA ELIX 0,1MG/ML 100 ML PET",LABORATÓRIO TEUTO BRASILEIRO,2766153,2850 CAIXAS,39.780,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
1815,"DEXAMETASONA FOSF 2SOD 4MG/ML SOL INJ C/120AMP AMBAR",LABORATÓRIO TEUTO,5198338,684 CAIXAS,1622,686,675202,20200530142832400,30/05/2020,SANTO ANTONIO DO DESCOBERTO,GO
1816,DEXANEURIN,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",1950146,2 UNIDADES,912,0,129934,2020-011674368-001,06/03/2020,VARGINHA,MG
1817,DEXANEURIN INJ C/ 3 AMP A E 3 AMP B,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1934048,3 UN,21508 UN,0 UN,000218109-1,44/2020 e 49/2020 Complementar,11 e 14/01/2020,Brotas,SP
1818,DEXANEURIN INJ C/ 3 AMP A E 3 AMP B,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",2006940,12 CARTUCHOS,768,0,136846,2020-028954010-001,17/06/2020,VARGINHA,MG
1819,DEXANEURIN INJ C/ 3 AMP A E 3 AMP B,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2022441,14,1296,0,160020,16078925,31/07/2020,SÃO PAULO,SP
1820,DEXANEURIN INJ C/ 3 AMP A E 3 AMP B,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2022441,25,1296,0,160045,16078925,31/07/2020,SÃO PAULO,SP
1821,DEXANEURIN INJ C/ 3 AMP A E 3 AMP B,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2022441,2,1296,0,160053,16078925,31/07/2020,SÃO PAULO,SP
